id,intent,tone,conf
53064,SocialFragility,Sensationalist,0.6989283334280058
53065,SocialFragility,Sensationalist,0.49008365364839285
53067,SocialFragility,Sensationalist,0.4991235099136586
53068,SocialFragility,Sensationalist,0.6989283334280058
53069,SocialFragility,Cynical,0.3147540370844638
53196,MilitaryPresence,Factual,0.5989211207480221
53197,MilitaryPresence,Factual,0.9482911852734469
53198,MilitaryPresence,Factual,0.9482911852734469
53351,Economic,Cynical,0.5499123241539848
53352,MilitaryPresence,Cynical,0.38574378134125675
53353,SocialFragility,Cynical,0.3314033717384218
53354,SocialFragility,Alarmist,0.46426248762898537
53355,SocialFragility,Alarmist,0.355694703922621
53070,SocialFragility,Sensationalist,0.5502530459814371
53071,SocialFragility,Sensationalist,0.484494241959038
53072,SocialFragility,Sensationalist,0.335307229878418
53073,SocialFragility,Sensationalist,0.4748440362687495
53090,SocialFragility,Alarmist,0.4880064605938598
53092,SocialFragility,Alarmist,0.3701453924935775
53078,SocialFragility,Sensationalist,0.4235252929478714
53096,SocialFragility,Alarmist,0.5597388917901829
53075,SocialFragility,Sensationalist,0.3727727000384362
53093,SocialFragility,Sensationalist,0.5562137300189012
53094,SocialFragility,Alarmist,0.3882521732337274
53081,SocialFragility,Sensationalist,0.4235252929478714
53083,SocialFragility,Alarmist,0.4023440687114039
53084,SocialFragility,Alarmist,0.40942279181589186
53085,SocialFragility,Sensationalist,0.5259300913803447
53095,SocialFragility,Sensationalist,0.39726654158001745
53358,SocialFragility,Alarmist,0.3168041940026824
53359,SocialFragility,Sensationalist,0.4025667915156862
53300,SocialFragility,Factual,0.7076329807474688
53299,SocialFragility,Sensationalist,0.4192345283462602
53497,Sovereignty,Factual,0.8487739958912128
53053,SocialFragility,Sensationalist,0.3727727000384362
53074,SocialFragility,Sensationalist,0.3727727000384362
53059,SocialFragility,Sensationalist,0.3727727000384362
53086,SocialFragility,Alarmist,0.384595393058116
53061,SocialFragility,Alarmist,0.3731166594887953
53062,SocialFragility,Sensationalist,0.40538862109378593
53087,SocialFragility,Alarmist,0.40792927164734566
53088,SocialFragility,Sensationalist,0.5562137300189012
53089,SocialFragility,Sensationalist,0.6581023753928603
53066,SocialFragility,Sensationalist,0.4235252929478714
53091,SocialFragility,Alarmist,0.3731166594887953
53356,SocialFragility,Sensationalist,0.46312778124576914
53357,SocialFragility,Alarmist,0.5121130648532769
53104,SocialFragility,Sensationalist,0.3756749542073885
53103,SocialFragility,Sensationalist,0.4297977240056743
53102,SocialFragility,Alarmist,0.36204282255123693
53101,SocialFragility,Alarmist,0.36467928507220315
53098,SocialFragility,Sensationalist,0.4706472914651051
53240,Economic,Cynical,0.36372356992272814
53361,SocialFragility,Sensationalist,0.42718226779606794
53097,Economic,Sensationalist,0.4812804276297807
53360,SocialFragility,Alarmist,0.4574794717369655
53100,SocialFragility,Sensationalist,0.43917935543447756
53099,SocialFragility,Factual,0.5843730340627363
53466,SocialFragility,Sensationalist,0.6768430482042457
53467,SocialFragility,Sensationalist,0.40513556269644885
53468,SocialFragility,Sensationalist,0.5856332279525563
53469,Economic,Alarmist,0.6010812895953932
53470,Economic,Cynical,0.3796047270298004
53108,SocialFragility,Sensationalist,0.5292319599469448
53241,SocialFragility,Sensationalist,0.3031783100979033
53242,Economic,Alarmist,0.43896519070333184
53521,SocialFragility,Alarmist,0.40584547337223653
53301,SocialFragility,Alarmist,0.3915062678234402
53302,Economic,Alarmist,0.3968221524235321
53120,Economic,Alarmist,0.611172087185846
53119,Economic,Alarmist,0.44695942731481686
53118,SocialFragility,Sensationalist,0.32506036960261603
53117,SocialFragility,Sensationalist,0.32615444339068206
53116,Economic,Alarmist,0.6299619259805193
53115,Economic,Alarmist,0.6349661483577435
53114,Economic,Alarmist,0.611172087185846
